locus	samples	reason
Dvit6	SRR10418406_West_Virginia_USA	STUTTER_FRACTION
Dvit6	SRR10418407_Virginia_2_USA	FLANK_INDEL_FRAC
Dvit6	SRR10418408_Virginia_1_USA	QUALITY
Dvit6	SRR10418409_Pennsylvania_USA	NO_READS
Dvit6	SRR10418410_New_York_USA	STUTTER_FRACTION
Dvit6	SRR10418411_Illinois_USA	PASS
Dvit6	SRR10418412_Wisconsin_USA	QUALITY
Dvit6	SRR10418413_Arizona_USA	NO_READS
Dvit6	SRR10418414_Australia	PASS
Dvit6	SRR10418415_Uruguay	PASS
Dvit6	SRR10418416_Armenia	PASS
Dvit6	SRR10418417_Romania	STUTTER_FRACTION
Dvit6	SRR10418418_Austria	PASS
Dvit6	SRR10418419_Palatinat_Germany	PASS
Dvit6	SRR10418420_south-west_France	PASS
Dvit6	SRR10418421_Massasuchetts_USA	QUALITY
Dvit6	SRR10418422_Washington_USA	FLANK_ASSEMBLY_CYCLIC
Dvit6	SRR10418423_California_USA	PASS
DVSSR3	HGMFWDSXY_Y21S0015-dv10g20vaitc8155	PASS
DVSSR3	HGMFWDSXY_Y21S0015-dv14g38vaitc8157	PASS
DVSSR3	HGMFWDSXY_Y21S0015-dv15g1vaitc8151	FLANK_INDEL_FRAC
DVSSR3	HGMFWDSXY_Y21S0015-dv18g4vaitc8152	FLANK_INDEL_FRAC
DVSSR3	HGMFWDSXY_Y21S0015-dv21g19vaitc8154	FLANK_ASSEMBLY_CYCLIC
DVSSR3	HGMFWDSXY_Y21S0015-dv22g19vaitc8154	FLANK_INDEL_FRAC
DVSSR3	HGMFWDSXY_Y21S0015-dv25g30vaitc8156	PASS
DVSSR3	HGMFWDSXY_Y21S0015-dv26g30vaitc8156	PASS
DVSSR3	HGMFWDSXY_Y21S0015-dv27g38vaitc8157	PASS
DVSSR3	HGMFWDSXY_Y21S0015-dv2g1vaitc8151	FLANK_INDEL_FRAC
DVSSR3	HGMFWDSXY_Y21S0015-dv5g7vaitc8153	QUALITY
DVSSR3	HGMFWDSXY_Y21S0015-dv6g7vaitc8153	PASS
DVSSR3	HGMFWDSXY_Y21S0015-dv9g20vaitc8155	QUALITY
DVSSR3	SRR10418406_West_Virginia_USA	STUTTER_FRACTION
